airport_code,airport_name,city,state,latitude,longitude
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.6407,-84.4277
LAX,Los Angeles International,Los Angeles,CA,33.9425,-118.4081
ORD,O'Hare International,Chicago,IL,41.9742,-87.9073
DFW,Dallas/Fort Worth International,Dallas,TX,32.8998,-97.0403
DEN,Denver International,Denver,CO,39.8561,-104.6737
JFK,John F. Kennedy International,New York,NY,40.6413,-73.7781
SFO,San Francisco International,San Francisco,CA,37.6213,-122.379
SEA,Seattle-Tacoma International,Seattle,WA,47.4502,-122.3088
LAS,Harry Reid International,Las Vegas,NV,36.0840,-115.1537
MCO,Orlando International,Orlando,FL,28.4312,-81.3081
EWR,Newark Liberty International,Newark,NJ,40.6895,-74.1745
MIA,Miami International,Miami,FL,25.7959,-80.2870
PHX,Phoenix Sky Harbor International,Phoenix,AZ,33.4373,-112.0078
IAH,George Bush Intercontinental,Houston,TX,29.9902,-95.3368
BOS,Logan International,Boston,MA,42.3656,-71.0096
MSP,Minneapolis-Saint Paul International,Minneapolis,MN,44.8848,-93.2223
DTW,Detroit Metropolitan Wayne County,Detroit,MI,42.2124,-83.3534
PHL,Philadelphia International,Philadelphia,PA,39.8729,-75.2437
LGA,LaGuardia,New York,NY,40.7772,-73.8726
CLT,Charlotte Douglas International,Charlotte,NC,35.2144,-80.9473
